First Name,Last Name,Account Number,Maturity Date,Original Loan Amount,Current Balance,Prepayment,Payment Frequency,Sub_acc_Current_Balance,Sub_acc_Interest_Type,Sub_acc_Payment_Frequency
Connor,Hill,6079939,29/01/2029,409215.39,232405.62,768.65,Monthly,13785.86,Fixed,Monthly
Frank,Hensley,8208593,04/09/2030,32402.89,7680.77,8975.99,Monthly,6678.9,Variable,Monthly
Charles,Bonilla,6291788,19/10/2027,463524.13,152063.09,8917.31,Monthly,8931.64,Fixed,Monthly
Troy,Werner,1369413,22/08/2032,20584.78,11897.07,1756.68,Monthly,47083.84,Fixed,Monthly
Sarah,Parker,2622097,24/02/2033,424606.23,351190.56,1471.95,Monthly,20782.08,Variable,Monthly
Kevin,Lee,0476798,26/03/2029,349417.3,238592.76,4670.75,Monthly,13899.43,Variable,Monthly
Daniel,Cummings,6402857,23/04/2028,259862.53,121740.02,7250.37,Monthly,27511.25,Variable,Monthly
Mark,Rivera,8927184,18/06/2032,162436.39,138339.36,1947.86,Monthly,33407.79,Fixed,Monthly
Daniel,Gonzales,0229483,27/03/2032,387606.34,194355.08,7934.19,Monthly,20835.7,Fixed,Monthly
Samantha,Francis,6682169,07/02/2029,107226.27,64458.39,6901.13,Monthly,15892.16,Variable,Monthly
Karen,Thompson,9588191,20/07/2028,38595.84,6922.26,4467.21,Monthly,22196.9,Variable,Monthly
Travis,Miller,5039359,29/10/2026,247082.8,98174.17,2520.62,Monthly,37646.38,Fixed,Monthly
Raven,Taylor,3900226,10/12/2024,307469.96,21676.74,7216.93,Monthly,28302.9,Fixed,Monthly
Jennifer,Garrison,2520423,07/08/2029,373242.51,135262.74,7260.41,Monthly,36481.87,Fixed,Monthly
Samantha,Moore,5748291,28/06/2032,441867.75,344279.43,1179.19,Monthly,40174.98,Fixed,Monthly
Julian,Hanson,5710426,01/07/2033,24472.12,22886.44,3641.47,Monthly,31974.13,Variable,Monthly
Robert,Ford,8983175,19/06/2026,468895.53,61845.1,4101.55,Monthly,10409.3,Fixed,Monthly
Brandon,Barnes,8180781,14/11/2027,74330.12,27923.95,3273.56,Monthly,27270.19,Variable,Monthly
Shelly,Mejia,1035673,20/04/2028,52139.23,26553.93,2965.8,Monthly,27265.46,Variable,Monthly
Cynthia,Jacobson,7509403,15/07/2028,244556.63,237929.27,417.29,Monthly,11781.43,Fixed,Monthly
Randy,Allison,1932725,01/04/2025,235839.47,59218.71,2296.41,Monthly,30182.03,Fixed,Monthly
Janice,Gomez,4975558,05/11/2029,392370.92,286895.42,9763.73,Monthly,47201.1,Variable,Monthly
Kimberly,Holmes,0888571,01/09/2025,491093.97,460512.37,5355.99,Monthly,24098.61,Fixed,Monthly
Francisco,Kent,0965931,31/03/2032,358789.24,154396.4,330.97,Monthly,4937.48,Variable,Monthly
Janet,Brown,8904331,02/04/2034,168364.38,11898.47,7391.99,Monthly,8855.58,Fixed,Monthly
Lisa,Mitchell,0988901,31/08/2034,13839.88,6839.2,2910.98,Monthly,39757.39,Fixed,Monthly
Tara,Smith,2141051,25/04/2033,428375.81,416043.64,3956.51,Monthly,33689.91,Variable,Monthly
Brenda,Coleman,7271399,19/10/2026,310339.9,29394.13,7432.87,Monthly,35832.65,Fixed,Monthly
Nathan,Fields,0481152,03/06/2027,496828.22,77729.47,9318.73,Monthly,15285.03,Variable,Monthly
Jennifer,Jacobson,7714663,15/07/2034,325508.31,17030.33,2966.63,Monthly,18846.01,Fixed,Monthly
Johnny,Green,8551154,16/01/2026,296670.64,77298.82,6793.28,Monthly,24171.71,Fixed,Monthly
Sean,Thompson,0305895,08/03/2028,492483.81,449243.56,2017.74,Monthly,22796.15,Variable,Monthly
Tara,Smith,7446539,04/11/2029,133826.17,23370.46,4322.87,Monthly,47487.02,Variable,Monthly
Jonathan,Jackson,7841027,26/09/2025,102078.49,22750.42,788.07,Monthly,48830.13,Fixed,Monthly
Kevin,Cook,6124914,13/04/2033,28599.37,9995.37,5830.86,Monthly,39368.19,Fixed,Monthly
Curtis,Nguyen,3912180,18/06/2034,387904.65,242898.88,2693.27,Monthly,41913.12,Variable,Monthly
Jennifer,Lee,4156939,23/03/2030,68606.96,34774.15,5570.22,Monthly,26357.75,Variable,Monthly
Rebecca,Maldonado,3929974,28/12/2031,461575.29,211978.79,4280.5,Monthly,22913.81,Variable,Monthly
Travis,Weaver,5497147,30/07/2028,153530.64,74747.54,9969.24,Monthly,41126.4,Fixed,Monthly
Sharon,Hernandez,5379549,01/07/2032,351440.25,255366.79,2591.06,Monthly,39198.21,Fixed,Monthly
Bryan,Burns,9158486,03/12/2032,349669.31,19535.13,3332.6,Monthly,16756.5,Variable,Monthly
Ryan,Moore,4089281,12/01/2032,268184.64,156487.34,3459.9,Monthly,10730.25,Fixed,Monthly
Michelle,Mcdaniel,8837455,20/12/2030,329966.64,258844.8,6816.78,Monthly,28834.98,Variable,Monthly
Michele,Torres,8032341,25/06/2027,233888.03,145739.89,3290.58,Monthly,32980.35,Fixed,Monthly
Alicia,Lee,3328733,22/06/2027,447630.55,123233.67,7291.85,Monthly,46165.68,Fixed,Monthly
Cristina,Parsons,6328307,28/04/2025,143832.36,52830.59,6890.94,Monthly,3582.86,Variable,Monthly
Steven,Watson,5664238,14/10/2029,492044.1,11787.2,6363.6,Monthly,46004.32,Fixed,Monthly
Larry,Bass,9078934,17/11/2029,231106.58,20018.36,2651.95,Monthly,13452.15,Variable,Monthly
Charles,Smith,5507484,31/07/2026,127129.66,49711.97,1739.91,Monthly,45620.4,Variable,Monthly
Jeffrey,Hatfield,4863522,24/04/2032,105532.21,64226.59,4827.41,Monthly,13580.92,Fixed,Monthly
Morgan,Ramsey,6193430,27/10/2024,345698.0,304577.75,1527.7,Monthly,30533.73,Variable,Monthly
Rachel,Norman,5834008,24/02/2033,54027.05,41877.5,8545.63,Monthly,26518.27,Variable,Monthly
John,Carroll,0238653,29/04/2032,192732.34,102274.47,2906.21,Monthly,36607.48,Variable,Monthly
William,Martinez,0378575,28/11/2031,11560.42,5544.95,1563.96,Monthly,44607.11,Fixed,Monthly
Anthony,Jackson,9863081,12/02/2031,106587.75,8065.95,4527.34,Monthly,23658.33,Variable,Monthly
Allison,Hanna,4774907,16/06/2027,137707.57,22933.49,8345.57,Monthly,4867.08,Fixed,Monthly
Omar,Hernandez,4226355,26/04/2032,423065.37,130682.62,608.22,Monthly,42410.11,Variable,Monthly
Sarah,Park,0022213,08/05/2025,390506.83,201372.26,6570.38,Monthly,40797.53,Fixed,Monthly
Jason,Gomez,0936810,12/06/2034,269325.52,161606.49,1220.94,Monthly,16121.73,Variable,Monthly
Chase,Brown,0592261,23/02/2026,261098.49,21965.34,5636.65,Monthly,31078.13,Fixed,Monthly
Joseph,Wallace,4516571,07/04/2032,40405.51,38849.01,7091.13,Monthly,17020.65,Variable,Monthly
Angela,Brooks,1647268,05/02/2033,349883.69,344539.75,5170.28,Monthly,5852.6,Fixed,Monthly
Kristen,Gilmore,8140204,11/12/2027,52460.79,22089.69,2722.44,Monthly,8201.72,Fixed,Monthly
Jose,Long,3344150,19/10/2025,345814.91,23880.56,921.51,Monthly,40522.58,Variable,Monthly
Samantha,King,9378055,11/10/2031,96434.06,76903.22,1272.98,Monthly,25884.35,Variable,Monthly
Michael,Snyder,5176798,27/09/2025,332937.42,325261.31,206.64,Monthly,17667.84,Variable,Monthly
Cynthia,Johnson,0998876,13/09/2028,148277.85,85747.58,3051.81,Monthly,36579.6,Fixed,Monthly
William,Robertson,3863388,23/12/2033,90492.44,25905.05,3550.88,Monthly,39645.23,Fixed,Monthly
Nicholas,Rodriguez,4701727,19/11/2030,450208.54,156617.03,9170.58,Monthly,23953.35,Fixed,Monthly
Paul,Jones,9113861,18/08/2029,337684.8,133291.95,1350.26,Monthly,36215.14,Variable,Monthly
James,Bonilla,0462906,28/06/2029,181989.51,135579.47,720.27,Monthly,41353.04,Variable,Monthly
Andre,White,9198877,02/02/2030,486882.11,478962.83,3422.34,Monthly,33274.81,Variable,Monthly
Kimberly,Thompson,3215696,15/01/2025,132075.68,124222.66,5953.21,Monthly,4083.88,Fixed,Monthly
Sarah,Jones,2619283,05/08/2034,301217.43,265499.52,4695.42,Monthly,44535.81,Variable,Monthly
Jennifer,Bradford,6652035,26/04/2031,270608.91,137044.49,6175.13,Monthly,17318.62,Fixed,Monthly
Michael,Reynolds,8455844,16/10/2024,261227.1,174765.2,4799.29,Monthly,26344.43,Variable,Monthly
Daniel,Dickerson,4325722,28/04/2034,249636.3,239713.95,4540.47,Monthly,6140.03,Variable,Monthly
Robert,Flowers,7523719,25/10/2031,112934.68,51768.06,9630.67,Monthly,1032.96,Variable,Monthly
Kristen,Cruz,2916794,03/02/2029,165336.65,1164.4,6196.47,Monthly,45153.17,Fixed,Monthly
Crystal,Cook,5031245,01/05/2027,80560.63,77383.43,7078.34,Monthly,34453.28,Fixed,Monthly
David,Navarro,3204155,05/12/2027,285868.86,110003.57,9168.71,Monthly,11183.78,Fixed,Monthly
Brian,Morrow,5362950,21/06/2030,401358.65,371817.81,4463.74,Monthly,39685.75,Fixed,Monthly
Ryan,Ramirez,8651587,06/05/2034,310472.03,291557.66,6528.83,Monthly,5649.15,Variable,Monthly
Joseph,Roberts,1145104,08/08/2027,281287.73,121314.17,2049.06,Monthly,11786.4,Fixed,Monthly
Colleen,Rodriguez,0842795,31/03/2034,454223.62,205253.24,3465.15,Monthly,5859.38,Fixed,Monthly
Walter,Hernandez,8161493,24/02/2029,97606.35,3071.06,501.4,Monthly,9786.32,Fixed,Monthly
Renee,Taylor,7207609,15/12/2032,397261.34,332273.63,8405.18,Monthly,32894.39,Variable,Monthly
Alexis,Hood,7069065,14/12/2026,303724.04,159535.51,3483.75,Monthly,8042.36,Fixed,Monthly
Andrew,Nunez,6713521,21/04/2025,329586.02,154709.6,5356.19,Monthly,35327.63,Fixed,Monthly
Tiffany,Coleman,0275254,01/10/2033,361999.77,95514.87,1705.74,Monthly,1772.99,Fixed,Monthly
Cheryl,Griffin,9134656,16/01/2027,180567.28,173760.27,3098.45,Monthly,43052.65,Fixed,Monthly
Kevin,Scott,9276620,12/05/2027,383455.24,75387.75,9156.61,Monthly,13917.62,Fixed,Monthly
Juan,Ellis,7732175,01/03/2034,314300.98,245527.12,6749.95,Monthly,23435.75,Fixed,Monthly
Ethan,Gibson,3064155,16/10/2028,277632.39,63290.03,1241.92,Monthly,13431.14,Variable,Monthly
Michael,Wood,1502678,01/11/2033,46293.19,16269.77,9464.81,Monthly,4842.8,Fixed,Monthly
William,Hudson,1300109,14/08/2029,195091.05,144722.11,7768.29,Monthly,38416.1,Variable,Monthly
Ashley,Buck,9274376,06/11/2026,87805.83,21969.99,9336.08,Monthly,4850.56,Variable,Monthly
Heidi,Ramirez,9089930,14/04/2028,394942.2,232852.92,4007.49,Monthly,9964.53,Fixed,Monthly
Amy,Frederick,9866106,06/08/2031,179628.45,144355.65,5574.32,Monthly,41439.36,Variable,Monthly
Heather,Smith,2467417,16/01/2030,244373.91,149396.88,6074.64,Monthly,16645.29,Variable,Monthly
William,Hoffman,0262591,12/08/2026,353263.09,60770.24,8347.62,Monthly,20649.89,Fixed,Monthly
Angela,Chapman,5409101,14/10/2030,452151.0,73231.71,8509.12,Monthly,23435.85,Variable,Monthly
Michele,Potter,8911994,17/12/2025,213247.68,4305.72,9847.04,Monthly,41416.96,Fixed,Monthly
Chad,Harrison,6555142,12/04/2033,182268.52,70132.69,954.38,Monthly,9515.15,Fixed,Monthly
Ian,Hayden,1828538,04/11/2031,100208.6,56540.48,7768.3,Monthly,39905.32,Variable,Monthly
Janet,Robinson,1411978,02/08/2032,132133.23,56718.0,8122.84,Monthly,1560.82,Variable,Monthly
John,Bailey,5213178,13/09/2033,357966.87,323804.36,6351.36,Monthly,12602.08,Fixed,Monthly
Michelle,Ward,3187534,15/03/2031,24276.56,7812.34,2282.08,Monthly,47825.01,Fixed,Monthly
Rachel,Wilson,5005703,20/10/2024,494959.93,189932.87,3382.48,Monthly,3694.27,Fixed,Monthly
Edward,Salinas,1184767,12/06/2025,79058.52,31887.98,761.4,Monthly,29376.13,Variable,Monthly
Jason,Black,9552630,08/03/2028,31252.29,6999.35,3414.6,Monthly,5279.86,Variable,Monthly
Jamie,Morrison,1812278,02/10/2034,389831.36,269353.78,3541.7,Monthly,6418.46,Variable,Monthly
Amanda,Stewart,5715693,23/07/2025,338059.79,13083.43,6956.56,Monthly,16127.1,Fixed,Monthly
James,Ballard,9732316,12/01/2034,222249.67,63436.74,1909.37,Monthly,40601.73,Variable,Monthly
Russell,Johnson,0737543,16/05/2032,92299.78,78699.64,9685.59,Monthly,10795.62,Variable,Monthly
Stephanie,Smith,4329656,17/07/2026,428733.99,178291.58,9350.63,Monthly,14176.96,Variable,Monthly
Michael,Salazar,9597474,01/09/2033,491091.58,42059.64,1786.45,Monthly,43147.4,Fixed,Monthly
Jeanette,Malone,2495085,20/04/2025,289500.96,280343.53,9279.11,Monthly,35514.13,Fixed,Monthly
Ryan,Warren,6912599,17/02/2028,431325.22,235231.42,4193.22,Monthly,31044.26,Variable,Monthly
John,Wade,6854173,22/07/2031,129571.07,110464.4,958.32,Monthly,7617.02,Fixed,Monthly
Laura,Marsh,8975522,05/06/2025,480886.54,468792.7,607.38,Monthly,14904.86,Fixed,Monthly
Rebecca,Smith,6431848,17/03/2031,58929.92,29722.43,358.92,Monthly,24259.08,Fixed,Monthly
Nathaniel,Moon,7837731,04/02/2032,229084.3,42026.16,7874.38,Monthly,49624.39,Fixed,Monthly
Patrick,Mccoy,2149354,21/02/2025,25230.07,4382.85,2098.88,Monthly,41342.91,Fixed,Monthly
Maureen,Wells,6421060,06/05/2027,133887.35,16025.49,5644.82,Monthly,6815.41,Variable,Monthly
Brian,Brown,4005974,19/09/2025,94821.73,23903.76,9690.96,Monthly,46956.09,Variable,Monthly
Ryan,Paul,0329405,22/10/2030,60872.23,55517.86,236.55,Monthly,24232.41,Fixed,Monthly
Emily,Mcbride,5385818,13/02/2025,464626.22,312206.49,3448.43,Monthly,3913.45,Variable,Monthly
Jennifer,Perkins,6152232,20/01/2033,74255.4,59350.92,8556.29,Monthly,27683.51,Fixed,Monthly
Adrian,Smith,3909977,17/03/2026,132633.71,18634.41,2949.0,Monthly,8234.55,Variable,Monthly
Tanya,Reed,9131854,07/10/2026,337452.31,273379.97,2188.89,Monthly,7588.53,Fixed,Monthly
Jamie,Roman,1002709,18/04/2026,73754.84,7809.41,5738.2,Monthly,13595.3,Fixed,Monthly
Christina,Johnson,7689812,30/01/2031,19779.18,17910.39,4969.6,Monthly,9606.27,Variable,Monthly
Dana,Benjamin,7590898,09/01/2033,152720.25,149508.36,7823.86,Monthly,38771.44,Variable,Monthly
Kathleen,Williams,9462518,20/03/2030,395003.19,175390.95,3318.06,Monthly,17284.65,Variable,Monthly
Sean,Dixon,8177452,30/05/2030,235129.3,108456.6,7082.37,Monthly,12743.47,Variable,Monthly
Crystal,Williamson,1559819,23/07/2029,331927.12,321582.27,413.28,Monthly,19819.8,Variable,Monthly
Erica,Hendricks,9250363,05/04/2025,338443.93,175577.76,8946.09,Monthly,14784.41,Fixed,Monthly
Robert,Carpenter,5413132,02/01/2026,122774.07,12554.16,5534.36,Monthly,27906.72,Variable,Monthly
Lucas,Jackson,8813797,26/04/2030,238611.79,112517.58,641.59,Monthly,13483.34,Fixed,Monthly
Donna,Jordan,5863541,10/05/2027,379870.92,235581.59,8792.01,Monthly,6880.36,Variable,Monthly
Chad,Craig,4037402,13/10/2032,419541.45,318642.17,3494.46,Monthly,22236.22,Variable,Monthly
Donald,Burnett,3144673,24/07/2025,91971.64,52705.46,8597.92,Monthly,39874.37,Variable,Monthly
Wendy,Morris,5585006,23/11/2030,380846.95,365468.62,2007.85,Monthly,29834.44,Fixed,Monthly
Zachary,Robertson,7464367,10/09/2025,322684.95,230607.66,6238.96,Monthly,41834.22,Variable,Monthly
Nicole,Ramos,7749359,09/10/2026,205924.63,180782.72,6250.86,Monthly,32092.59,Variable,Monthly
Adrienne,Rodriguez,1488537,28/07/2030,442818.2,154153.2,6958.57,Monthly,9790.61,Fixed,Monthly
Erik,Morgan,8106164,14/06/2026,151822.0,89301.75,8694.63,Monthly,29389.33,Variable,Monthly
Scott,Reed,0482986,29/03/2026,170457.36,129208.95,2985.88,Monthly,26414.13,Fixed,Monthly
James,Harris,4368613,07/02/2029,27770.31,26354.6,6312.43,Monthly,2521.06,Variable,Monthly
Alexander,Dixon,3258570,05/08/2033,455267.08,17676.44,968.64,Monthly,33591.14,Fixed,Monthly
Kevin,Oneal,4262504,30/06/2028,474177.63,467899.37,3873.36,Monthly,46608.41,Fixed,Monthly
Amber,Kennedy,3517596,12/09/2030,286076.84,66482.08,9359.42,Monthly,19974.95,Fixed,Monthly
Christine,Jones,3607412,29/07/2028,145536.49,121652.91,6889.55,Monthly,14196.35,Fixed,Monthly
Mitchell,Mitchell,6899930,16/01/2029,471154.95,413944.88,686.59,Monthly,49261.33,Variable,Monthly
Amanda,Herman,0092101,21/05/2032,489344.23,200086.35,6626.21,Monthly,39827.8,Fixed,Monthly
Heather,Brown,0438165,25/04/2026,487481.81,19774.59,8764.96,Monthly,47139.77,Variable,Monthly
Teresa,Crane,6471282,16/09/2028,178165.12,43161.17,2081.5,Monthly,10875.61,Fixed,Monthly
Patricia,Wells,8009880,14/02/2032,92646.31,57787.79,3854.68,Monthly,45126.87,Fixed,Monthly
Pamela,Montgomery,3008416,18/10/2032,228668.25,48854.5,305.48,Monthly,6559.57,Variable,Monthly
Thomas,Jones,1673825,05/09/2032,33197.65,6034.97,3627.52,Monthly,36283.6,Fixed,Monthly
Charles,Smith,3455682,13/07/2033,289839.39,21776.95,2388.7,Monthly,45122.37,Fixed,Monthly
Andrew,Day,4426663,13/02/2029,229570.63,185884.8,6878.97,Monthly,10500.03,Variable,Monthly
Laura,Contreras,6298450,17/07/2034,36428.01,27502.34,1348.5,Monthly,18653.17,Fixed,Monthly
Logan,Stewart,2344224,21/02/2030,357200.75,187407.99,8648.0,Monthly,44016.99,Fixed,Monthly
Scott,Coleman,7064081,13/11/2026,116012.23,88362.45,7377.31,Monthly,1084.76,Fixed,Monthly
James,Valdez,2733598,21/12/2024,486187.56,336593.04,3188.55,Monthly,32282.56,Variable,Monthly
Andrea,Kelly,8437320,06/03/2033,342274.45,69426.89,8592.74,Monthly,17520.12,Variable,Monthly
Justin,Sanchez,0991699,13/06/2032,381772.52,42900.46,5340.51,Monthly,19683.24,Fixed,Monthly
Diane,Anderson,2106413,22/12/2026,35213.19,20741.05,5176.89,Monthly,44294.66,Variable,Monthly
Mario,Campbell,6552516,07/11/2025,246068.9,182729.63,80.74,Monthly,31336.08,Variable,Monthly
Dawn,Grant,8713566,21/02/2033,446365.83,123345.22,3116.17,Monthly,44059.65,Fixed,Monthly
Mallory,Holt,6103724,06/11/2029,421892.51,121156.5,9556.68,Monthly,11169.32,Fixed,Monthly
Thomas,Bush,7387557,10/09/2030,253032.75,250818.38,9593.61,Monthly,26953.33,Variable,Monthly
Steve,Erickson,8833187,06/06/2032,147973.91,60971.23,4204.17,Monthly,40274.34,Fixed,Monthly
Benjamin,Macdonald,2866676,14/02/2027,266008.74,120900.37,2604.88,Monthly,16578.26,Fixed,Monthly
Kimberly,Taylor,4421464,03/05/2032,434070.1,346112.74,5133.14,Monthly,1649.6,Fixed,Monthly
Martin,Richmond,9309265,15/02/2030,473513.07,21188.46,1236.01,Monthly,46853.36,Fixed,Monthly
Troy,Prince,6875696,19/07/2029,59704.0,45428.84,4144.53,Monthly,4077.96,Fixed,Monthly
Cheryl,Davis,8630434,25/12/2024,197159.34,79654.76,4671.63,Monthly,5310.95,Variable,Monthly
Michelle,Ramirez,9864357,28/08/2034,449593.14,150071.03,3598.28,Monthly,8004.67,Variable,Monthly
Cathy,Lopez,1935921,05/03/2026,266533.3,77572.24,3343.75,Monthly,37553.81,Fixed,Monthly
Randy,Gomez,8877365,22/06/2029,467150.47,411364.82,480.45,Monthly,39637.85,Variable,Monthly
